#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	smtp
#open	2025-04-27-23-26-55
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	helo	mailfrom	rcptto	date	from	to	cc	reply_to	msg_id	in_reply_to	subject	x_originating_ip	first_received	second_received	last_reply	path	user_agent	tls	fuids
#types	time	string	addr	port	addr	port	count	string	string	set[string]	string	string	set[string]	set[string]	string	string	string	string	addr	string	string	string	vector[addr]	string	bool	vector[string]
1424219010.639655	CHR1MmmEA9XznOhVh	175.45.176.0	40755	149.171.126.18	25	1	VMkjWvlPXbFrQwDOIEPRnoAicnRvidEmD	JTU9WYOcE@VMkjWvlPXbFrQwDOIEPRnoAicnRvidEmD.net	ptWh1wrBGlI00dqMl43Uq7WMxCIjM@yNJzEwGGFytcStteEyKvuzZdVUre.edu	Tue, 17 Feb 2015 09:24:08 +1100	kAGrBh5mI6AsyfSxIiJEt0ya@VMkjWvlPXbFrQwDOIEPRnoAicnRvidEmD.net	dAFF1MtoqlEcAZUdr95ylG@yNJzEwGGFytcStteEyKvuzZdVUre.us	-	-	<jqaRxgHCPtEZiY48T0XoOwpIdMK8jZNcmce3FHlTBirb4>	-	pT4kliWw9rdPlOxA1ugTTvQ9QfqBJzFcIvxjfKj6vkGxJ	-	-	-	250 2.6.0 <MAILZxoOMlcNafN99JQPdrMPL0vS@yNJzEwGGFytcStteEyKvuzZdVUre> Queued mail for delivery	149.171.126.18,175.45.176.0	-	F	FprpXc2OJm148pLHke,F5Y02Q3iIxPr3PMxKf
1424219042.295739	CZc6fk2fG5c0HeuJLg	175.45.176.0	60595	149.171.126.17	25	1	bEYuzxsYMWHIBOclrTBkjWQWDElrcIDfu	jZKFVyEtXjmyp4zHxuu0@bEYuzxsYMWHIBOclrTBkjWQWDElrcIDfu.net	ITvN3@VrVzGAJkFDLNEpcMMFQvyLrLhxPyl.us	Tue, 17 Feb 2015 09:24:40 +1100	gkFSObtcemil4o72QOrwKEC5sH@bEYuzxsYMWHIBOclrTBkjWQWDElrcIDfu.us	do2WlLtYoAuDbZvvgabGU5OteyqMnH4p0@VrVzGAJkFDLNEpcMMFQvyLrLhxPyl.us	-	-	<Lz8XjMzjp5MP3RlMDDj12jV6vEnw1CHRmVC8W9rvzi9uZR>	-	8JkrgKqUvFxtrl49n7p0mEsX4CKfJPt5q1YSMYQoV	-	-	-	250 2.6.0 <MAILrjIe5ccW4Yfl7Kr2eQcfttok@VrVzGAJkFDLNEpcMMFQvyLrLhxPyl> Queued mail for delivery	149.171.126.17,175.45.176.0	-	F	FcNChJ2pWKISU1CBl,FSJLMvZZeZfIBsvea
1424219067.257992	Cokgm14e4oBbIhF2Df	175.45.176.2	58472	149.171.126.17	25	1	eyBYxYcGhJJMICJNnfSWC	PW6vQzCg@eyBYxYcGhJJMICJNnfSWC.gov	rUbA5SBJSGwKoElPPovluQQD@RniWUhiNQp.us	Tue, 17 Feb 2015 09:25:05 +1100	IOssgl08XZoLht@eyBYxYcGhJJMICJNnfSWC.gov	OIYsJmcChBm45g@RniWUhiNQp.gov	-	-	<saRex9KpbVF4nLHFbHjBmjtC0KQ>	-	goy8IkAlJBP	-	-	-	250 2.6.0 <MAILlhkSVBNXfqwCLRdAPzzHJM0R@RniWUhiNQp> Queued mail for delivery	149.171.126.17,175.45.176.2	-	F	FpJwAY39dgDcEXGPjf,FVp4JP9TMN3lEEg
1424219070.830574	CuEnj22Jd0jWesE726	175.45.176.2	13352	149.171.126.13	25	1	attacker	-	(empty)	-	MAILER-DAEMON@localhost	(empty)	-	-	-	-	-	-	-	-	250 2.6.0 <WIN2KSRV7qHO4CPYfdU00000001@win2ksrv.dhcp153.vrt.fscinternet.com> Queued mail for delivery	149.171.126.13,175.45.176.2	-	F	FlbjBw1gs5mhR90dV,FGVQL34myyK689gzBa
1424219077.644688	CIO8UbUYn2z5ERYFd	175.45.176.0	3844	149.171.126.12	25	1	eZcekq	ySTjVzSLHTP2ZT@eZcekq.us	YNgoJEE45acBKMrp@BWNpZAwpceBynl.edu	Tue, 17 Feb 2015 09:25:15 +1100	enySqC5D7litXfGof04us@eZcekq.com	pj6zCBv@BWNpZAwpceBynl.com	-	-	<EjGQ6oAbwPsDfoyoyFc2gxGalU9BSBn51W>	-	6q6thkBjS9gAaCI1Gq	-	-	-	250 2.6.0 <MAILIqF08AMwyzvOErtvWEMAW0xV@BWNpZAwpceBynl> Queued mail for delivery	149.171.126.12,175.45.176.0	-	F	FvGZ8zUNQM1OzW5Ya,Fuenyb1ETGuFCMw8li
1424219123.298111	Ch4AWz1jGBTNsQ3AA8	175.45.176.3	14312	149.171.126.12	25	1	prDGHbLekiPOXAsrJJ	sGrkM3w90NyNilETaZ@prDGHbLekiPOXAsrJJ.gov	Lb3ETFkw1EOWzU0Ea1g0qoFjhXHBlxFit@meVKyOljebjLmDHeM.gov	Tue, 17 Feb 2015 09:26:01 +1100	We2svXqkUN05KivLrIrX1Wt6xxsWxRG@prDGHbLekiPOXAsrJJ.gov	RZNenvGgCMzNBmgldjsHiwENaS@meVKyOljebjLmDHeM.us	-	-	<29mBQr5zOysHDlRmydpvsZ84B>	-	yqYz5V4akmCW3oGzCYxrT2JsTfZBkX99pwD2iViAm	-	-	-	250 2.6.0 <MAILHo9yoEVBPgFf8cGqeAS3zsVu@meVKyOljebjLmDHeM> Queued mail for delivery	149.171.126.12,175.45.176.3	-	F	FbBN2D294fj6iRAP9k,FQbx364DSchhHVGyWg
1424219134.011285	C5GsmV39zZ3ZCIf1N7	175.45.176.2	40079	149.171.126.14	25	1	jnYZCbKP	iGGQc5GDkQupIXqjjf4ZrG@jnYZCbKP.us	K6oLk7Q6Ls2OHI4PMWC3@LeeEChIlzPyAYTsxd.com	Tue, 17 Feb 2015 09:26:12 +1100	ctxKdb@jnYZCbKP.us	iNaY9JBhM2KZL8m2q@LeeEChIlzPyAYTsxd.com	-	-	<Gn1NORicTul2fXezdmI1L2ufD8aZls4qSPFgdacH>	-	I1aaI2h7RZZAVWJymw6w8s8tHajTa2VpH4vAoGpCRRh	-	-	-	250 2.6.0 <MAILRpQLir2pdp2VZjkTL2d2d6R7@LeeEChIlzPyAYTsxd> Queued mail for delivery	149.171.126.14,175.45.176.2	-	F	FbmrNT2DhO5e8971Rd,FAk5S44glROPWzTEc4
1424219135.233703	CpOL3Z2eThNlYZG8xi	175.45.176.2	52969	149.171.126.13	25	1	qiIiCDVhMuioDidzIffPdD	AhGr9b2ENy9EbgAgji5gJdGTlN@qiIiCDVhMuioDidzIffPdD.edu	wOxSuhXH0UEogll5ds904HxgrZSvm@ueRADJeUzSpuJUBRpxo.gov	Tue, 17 Feb 2015 09:26:13 +1100	ftCsug4CY0asj5nrl8@qiIiCDVhMuioDidzIffPdD.org	gFQdMYlyW64rWq5ix8J2Hnz6@ueRADJeUzSpuJUBRpxo.us	-	-	<LUl85SnTpLrl1ALHpdip1Tq1rqF1PK4M>	-	xgcBDC	-	-	-	250 2.6.0 <MAILYusgpXK2pEgf5xcz6nmClRop@ueRADJeUzSpuJUBRpxo> Queued mail for delivery	149.171.126.13,175.45.176.2	-	F	FWljqr3lNmFOQQgwlg
1424219151.740738	CAGrhFWWnmHan7S14	175.45.176.2	59985	149.171.126.10	25	1	ddlbh	n8uqzuLmufjHOubcoW20GcOhDyjPb@ddlbh.gov	LsU9JVZOjowLj0@dHGDHlbThBsgfDWqy.gov	Tue, 17 Feb 2015 09:26:29 +1100	Jfsj73f@ddlbh.com	iib9vdiSyoEmx4NjyQjWrQqTdDx@dHGDHlbThBsgfDWqy.org	-	-	<Z93lCRhRyCu7YW8qUftFQ8cdBUpL0z2lbdNm9O0bBhsE>	-	iflLCmbTwGqg	-	-	-	250 2.6.0 <MAILU3on0ofll1PKfqJg5ZsM31ga@dHGDHlbThBsgfDWqy> Queued mail for delivery	149.171.126.10,175.45.176.2	-	F	Fg1rHogfDVUTao2jh,F4naJ72dU5LUQblhEi
1424219155.133643	CvgrZi31y5kdPixz2	175.45.176.1	20693	149.171.126.17	25	1	IAKZt	yn9HQyPQTRaz@IAKZt.gov	exeNXlRf9XM26cXIVuUGNzOp4VG@fTOqOIOWOWLdge.net	Tue, 17 Feb 2015 09:26:33 +1100	JiQWFI8SsUGSo8XhzuC7tsxJm4xI2rNmX@IAKZt.com	FcEBYEaT3dZQdVc2@fTOqOIOWOWLdge.edu	-	-	<FCLWutFNAZgn1v8HsPBMr3d27c4FvvVV6i2clSN>	-	SwSic1ADeM5QLO	-	-	-	250 2.6.0 <MAIL2eBtwtnngiB66U2o5ofyyD6Q@fTOqOIOWOWLdge> Queued mail for delivery	149.171.126.17,175.45.176.1	-	F	FhvLa84bmB4Eamm8rd,FectORGLg7NGn1aU6
1424219888.831208	CDkCEC13XDo3q0Wmy8	59.166.0.0	55839	149.171.126.5	25	1	client-3ba60006.example.int	sender@example.com	recipient@example.com	Tue Feb 17 00:33:05 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<ECHcEpBEPkUjDA6q@example.com>	-	You see, the part of town where I	-	qmail 1942 by uid 2780; Tue Apr 22 07:41:52 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.5,59.166.0.0	Microsoft Outlook Express 6.00.2800.1158	F	FKeLl01cBjgOPYTUTl,FOYVau4h2ZuGdcL76a
1424219888.835679	CTbKdC4XBZa15URCka	59.166.0.9	29033	149.171.126.2	25	1	client-3ba60000.example.int	sender@example.com	recipient@example.com	Mon Feb 16 23:52:44 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<a1G2aAwj62kOkrOJ@example.com>	-	But it isn't only that Jeeves's judgment about	-	qmail 1083 by uid 1363; Wed Aug 27 14:12:49 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.2,59.166.0.9	Microsoft Outlook Express 6.00.2800.1158	F	FbY9DQxKN0ph0Tf2,FXeGGe4uWRng6OdEWa
